u,v,label,score,model,model_key,group,case
A000383,A000506,1,9.0,Common Neighbors,common_neighbors,Heuristics,case2
A000383,A000506,1,0.1875,Jaccard Coefficient,jaccard,Heuristics,case2
A000383,A000506,1,2.9973173192008273,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000383,A000506,1,806.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000383,A000506,1,0.4669324875214662,Resource Allocation Index,resource_allocation,Heuristics,case2
A000196,A000401,1,3.0,Common Neighbors,common_neighbors,Heuristics,case2
A000196,A000401,1,0.13043478260869565,Jaccard Coefficient,jaccard,Heuristics,case2
A000196,A000401,1,1.3555098611486542,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000196,A000401,1,168.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000196,A000401,1,0.3388888888888889,Resource Allocation Index,resource_allocation,Heuristics,case2
A000056,A000265,1,7.0,Common Neighbors,common_neighbors,Heuristics,case2
A000056,A000265,1,0.2916666666666667,Jaccard Coefficient,jaccard,Heuristics,case2
A000056,A000265,1,2.8344677149582385,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000056,A000265,1,234.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000056,A000265,1,0.6138743708865659,Resource Allocation Index,resource_allocation,Heuristics,case2
A000192,A000351,1,2.0,Common Neighbors,common_neighbors,Heuristics,case2
A000192,A000351,1,0.05405405405405406,Jaccard Coefficient,jaccard,Heuristics,case2
A000192,A000351,1,1.344533708530089,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000192,A000351,1,380.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000192,A000351,1,0.43333333333333335,Resource Allocation Index,resource_allocation,Heuristics,case2
A000052,A000074,1,3.0,Common Neighbors,common_neighbors,Heuristics,case2
A000052,A000074,1,0.75,Jaccard Coefficient,jaccard,Heuristics,case2
A000052,A000074,1,2.8853900817779268,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000052,A000074,1,12.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000052,A000074,1,1.0,Resource Allocation Index,resource_allocation,Heuristics,case2
A000109,A000475,1,6.0,Common Neighbors,common_neighbors,Heuristics,case2
A000109,A000475,1,0.25,Jaccard Coefficient,jaccard,Heuristics,case2
A000109,A000475,1,2.3212222830007945,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000109,A000475,1,224.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000109,A000475,1,0.47213595583160795,Resource Allocation Index,resource_allocation,Heuristics,case2
A000255,A000412,1,5.0,Common Neighbors,common_neighbors,Heuristics,case2
A000255,A000412,1,0.08196721311475409,Jaccard Coefficient,jaccard,Heuristics,case2
A000255,A000412,1,1.535962654165363,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000255,A000412,1,1025.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000255,A000412,1,0.19436139840551606,Resource Allocation Index,resource_allocation,Heuristics,case2
A000385,A000416,1,6.0,Common Neighbors,common_neighbors,Heuristics,case2
A000385,A000416,1,0.20689655172413793,Jaccard Coefficient,jaccard,Heuristics,case2
A000385,A000416,1,2.165337656395994,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000385,A000416,1,294.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000385,A000416,1,0.38455985479745897,Resource Allocation Index,resource_allocation,Heuristics,case2
A000196,A000380,1,4.0,Common Neighbors,common_neighbors,Heuristics,case2
A000196,A000380,1,0.14285714285714285,Jaccard Coefficient,jaccard,Heuristics,case2
A000196,A000380,1,1.5834922293602522,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000196,A000380,1,252.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000196,A000380,1,0.3378136200716846,Resource Allocation Index,resource_allocation,Heuristics,case2
A000230,A000503,1,6.0,Common Neighbors,common_neighbors,Heuristics,case2
A000230,A000503,1,0.2222222222222222,Jaccard Coefficient,jaccard,Heuristics,case2
A000230,A000503,1,2.3136415983844185,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000230,A000503,1,162.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000230,A000503,1,0.46316548948127895,Resource Allocation Index,resource_allocation,Heuristics,case2
A000080,A000244,1,1.0,Common Neighbors,common_neighbors,Heuristics,case2
A000080,A000244,1,0.045454545454545456,Jaccard Coefficient,jaccard,Heuristics,case2
A000080,A000244,1,0.318928988903801,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000080,A000244,1,42.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000080,A000244,1,0.043478260869565216,Resource Allocation Index,resource_allocation,Heuristics,case2
A000096,A000256,1,1.0,Common Neighbors,common_neighbors,Heuristics,case2
A000096,A000256,1,0.03571428571428571,Jaccard Coefficient,jaccard,Heuristics,case2
A000096,A000256,1,0.45511961331341866,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000096,A000256,1,154.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000096,A000256,1,0.1111111111111111,Resource Allocation Index,resource_allocation,Heuristics,case2
A000183,A000190,1,5.0,Common Neighbors,common_neighbors,Heuristics,case2
A000183,A000190,1,0.12195121951219512,Jaccard Coefficient,jaccard,Heuristics,case2
A000183,A000190,1,1.7820442676295665,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000183,A000190,1,529.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000183,A000190,1,0.3110609197565719,Resource Allocation Index,resource_allocation,Heuristics,case2
A000047,A000253,1,5.0,Common Neighbors,common_neighbors,Heuristics,case2
A000047,A000253,1,0.3125,Jaccard Coefficient,jaccard,Heuristics,case2
A000047,A000253,1,2.216438418629713,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000047,A000253,1,98.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000047,A000253,1,0.5253357753357752,Resource Allocation Index,resource_allocation,Heuristics,case2
A000004,A000351,1,6.0,Common Neighbors,common_neighbors,Heuristics,case2
A000004,A000351,1,0.2,Jaccard Coefficient,jaccard,Heuristics,case2
A000004,A000351,1,2.005530623539918,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000004,A000351,1,320.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000004,A000351,1,0.31772613831511703,Resource Allocation Index,resource_allocation,Heuristics,case2
A000320,A000493,1,7.0,Common Neighbors,common_neighbors,Heuristics,case2
A000320,A000493,1,0.14,Jaccard Coefficient,jaccard,Heuristics,case2
A000320,A000493,1,2.279059099047009,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000320,A000493,1,602.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000320,A000493,1,0.3441158191643243,Resource Allocation Index,resource_allocation,Heuristics,case2
A000063,A000177,1,2.0,Common Neighbors,common_neighbors,Heuristics,case2
A000063,A000177,1,0.04878048780487805,Jaccard Coefficient,jaccard,Heuristics,case2
A000063,A000177,1,1.0498062591975328,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000063,A000177,1,372.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000063,A000177,1,0.2976190476190476,Resource Allocation Index,resource_allocation,Heuristics,case2
A000108,A000194,1,4.0,Common Neighbors,common_neighbors,Heuristics,case2
A000108,A000194,1,0.5,Jaccard Coefficient,jaccard,Heuristics,case2
A000108,A000194,1,1.5546965454471389,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000108,A000194,1,35.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000108,A000194,1,0.3165204678362573,Resource Allocation Index,resource_allocation,Heuristics,case2
A000176,A000381,1,1.0,Common Neighbors,common_neighbors,Heuristics,case2
A000176,A000381,1,0.020833333333333332,Jaccard Coefficient,jaccard,Heuristics,case2
A000176,A000381,1,0.318928988903801,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000176,A000381,1,138.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000176,A000381,1,0.043478260869565216,Resource Allocation Index,resource_allocation,Heuristics,case2
A000210,A000548,1,4.0,Common Neighbors,common_neighbors,Heuristics,case2
A000210,A000548,1,0.6666666666666666,Jaccard Coefficient,jaccard,Heuristics,case2
A000210,A000548,1,1.8506173635061594,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000210,A000548,1,24.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000210,A000548,1,0.46904761904761905,Resource Allocation Index,resource_allocation,Heuristics,case2
A000170,A000233,1,3.0,Common Neighbors,common_neighbors,Heuristics,case2
A000170,A000233,1,0.07142857142857142,Jaccard Coefficient,jaccard,Heuristics,case2
A000170,A000233,1,1.390129361500843,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000170,A000233,1,324.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000170,A000233,1,0.34835164835164834,Resource Allocation Index,resource_allocation,Heuristics,case2
A000087,A000546,1,4.0,Common Neighbors,common_neighbors,Heuristics,case2
A000087,A000546,1,0.11764705882352941,Jaccard Coefficient,jaccard,Heuristics,case2
A000087,A000546,1,2.237145560788488,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000087,A000546,1,345.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000087,A000546,1,0.6554924242424243,Resource Allocation Index,resource_allocation,Heuristics,case2
A000262,A000373,1,2.0,Common Neighbors,common_neighbors,Heuristics,case2
A000262,A000373,1,0.034482758620689655,Jaccard Coefficient,jaccard,Heuristics,case2
A000262,A000373,1,1.0004028337201052,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000262,A000373,1,644.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000262,A000373,1,0.2777777777777778,Resource Allocation Index,resource_allocation,Heuristics,case2
A000298,A000523,1,7.0,Common Neighbors,common_neighbors,Heuristics,case2
A000298,A000523,1,0.7777777777777778,Jaccard Coefficient,jaccard,Heuristics,case2
A000298,A000523,1,2.7729734206324683,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000298,A000523,1,64.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000298,A000523,1,0.5706519643590582,Resource Allocation Index,resource_allocation,Heuristics,case2
A000179,A000496,1,14.0,Common Neighbors,common_neighbors,Heuristics,case2
A000179,A000496,1,0.3111111111111111,Jaccard Coefficient,jaccard,Heuristics,case2
A000179,A000496,1,4.476612823161335,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000179,A000496,1,828.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000179,A000496,1,0.6265330578315631,Resource Allocation Index,resource_allocation,Heuristics,case2
A000192,A000307,1,8.0,Common Neighbors,common_neighbors,Heuristics,case2
A000192,A000307,1,0.38095238095238093,Jaccard Coefficient,jaccard,Heuristics,case2
A000192,A000307,1,3.5108017238239446,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000192,A000307,1,190.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000192,A000307,1,0.8206709956709957,Resource Allocation Index,resource_allocation,Heuristics,case2
A000031,A000464,1,1.0,Common Neighbors,common_neighbors,Heuristics,case2
A000031,A000464,1,0.1111111111111111,Jaccard Coefficient,jaccard,Heuristics,case2
A000031,A000464,1,0.7213475204444817,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000031,A000464,1,16.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000031,A000464,1,0.25,Resource Allocation Index,resource_allocation,Heuristics,case2
A000281,A000484,1,3.0,Common Neighbors,common_neighbors,Heuristics,case2
A000281,A000484,1,0.12,Jaccard Coefficient,jaccard,Heuristics,case2
A000281,A000484,1,1.3086412275782782,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000281,A000484,1,115.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000281,A000484,1,0.3065998329156224,Resource Allocation Index,resource_allocation,Heuristics,case2
A000421,A000511,1,2.0,Common Neighbors,common_neighbors,Heuristics,case2
A000421,A000511,1,0.3333333333333333,Jaccard Coefficient,jaccard,Heuristics,case2
A000421,A000511,1,1.4426950408889634,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000421,A000511,1,12.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000421,A000511,1,0.5,Resource Allocation Index,resource_allocation,Heuristics,case2
A000464,A000563,1,2.0,Common Neighbors,common_neighbors,Heuristics,case2
A000464,A000563,1,0.6666666666666666,Jaccard Coefficient,jaccard,Heuristics,case2
A000464,A000563,1,1.0906168935133367,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000464,A000563,1,6.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000464,A000563,1,0.31666666666666665,Resource Allocation Index,resource_allocation,Heuristics,case2
A000020,A000114,1,2.0,Common Neighbors,common_neighbors,Heuristics,case2
A000020,A000114,1,0.1,Jaccard Coefficient,jaccard,Heuristics,case2
A000020,A000114,1,0.8328273312735517,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000020,A000114,1,96.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000020,A000114,1,0.18633540372670807,Resource Allocation Index,resource_allocation,Heuristics,case2
A000010,A000526,1,5.0,Common Neighbors,common_neighbors,Heuristics,case2
A000010,A000526,1,0.17857142857142858,Jaccard Coefficient,jaccard,Heuristics,case2
A000010,A000526,1,2.4550232272756727,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000010,A000526,1,140.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000010,A000526,1,0.6557239057239057,Resource Allocation Index,resource_allocation,Heuristics,case2
A000063,A000170,1,4.0,Common Neighbors,common_neighbors,Heuristics,case2
A000063,A000170,1,0.09090909090909091,Jaccard Coefficient,jaccard,Heuristics,case2
A000063,A000170,1,1.864999283159713,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000063,A000170,1,432.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000063,A000170,1,0.4717948717948718,Resource Allocation Index,resource_allocation,Heuristics,case2
A000089,A000141,1,1.0,Common Neighbors,common_neighbors,Heuristics,case2
A000089,A000141,1,0.03571428571428571,Jaccard Coefficient,jaccard,Heuristics,case2
A000089,A000141,1,0.3396232718951086,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000089,A000141,1,28.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000089,A000141,1,0.05263157894736842,Resource Allocation Index,resource_allocation,Heuristics,case2
A000413,A000513,1,5.0,Common Neighbors,common_neighbors,Heuristics,case2
A000413,A000513,1,0.21739130434782608,Jaccard Coefficient,jaccard,Heuristics,case2
A000413,A000513,1,1.62356330756666,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000413,A000513,1,196.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000413,A000513,1,0.23278985507246375,Resource Allocation Index,resource_allocation,Heuristics,case2
A000137,A000179,1,11.0,Common Neighbors,common_neighbors,Heuristics,case2
A000137,A000179,1,0.2972972972972973,Jaccard Coefficient,jaccard,Heuristics,case2
A000137,A000179,1,3.554925537786662,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000137,A000179,1,432.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000137,A000179,1,0.5106905669890722,Resource Allocation Index,resource_allocation,Heuristics,case2
A000334,A000503,1,5.0,Common Neighbors,common_neighbors,Heuristics,case2
A000334,A000503,1,0.35714285714285715,Jaccard Coefficient,jaccard,Heuristics,case2
A000334,A000503,1,1.799743256014668,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000334,A000503,1,78.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000334,A000503,1,0.3203083466241361,Resource Allocation Index,resource_allocation,Heuristics,case2
A000104,A000569,1,6.0,Common Neighbors,common_neighbors,Heuristics,case2
A000104,A000569,1,0.75,Jaccard Coefficient,jaccard,Heuristics,case2
A000104,A000569,1,2.660308402359955,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000104,A000569,1,49.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000104,A000569,1,0.6550290974204018,Resource Allocation Index,resource_allocation,Heuristics,case2
A000391,A000560,1,6.0,Common Neighbors,common_neighbors,Heuristics,case2
A000391,A000560,1,0.1875,Jaccard Coefficient,jaccard,Heuristics,case2
A000391,A000560,1,2.086011508181511,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000391,A000560,1,352.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000391,A000560,1,0.3489588426659365,Resource Allocation Index,resource_allocation,Heuristics,case2
A000143,A000162,1,5.0,Common Neighbors,common_neighbors,Heuristics,case2
A000143,A000162,1,0.11363636363636363,Jaccard Coefficient,jaccard,Heuristics,case2
A000143,A000162,1,3.164038884746903,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000143,A000162,1,444.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000143,A000162,1,0.9921568627450981,Resource Allocation Index,resource_allocation,Heuristics,case2
A000381,A000480,1,6.0,Common Neighbors,common_neighbors,Heuristics,case2
A000381,A000480,1,0.12244897959183673,Jaccard Coefficient,jaccard,Heuristics,case2
A000381,A000480,1,2.2953345117292203,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000381,A000480,1,414.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000381,A000480,1,0.4503565677478721,Resource Allocation Index,resource_allocation,Heuristics,case2
A000301,A000381,1,6.0,Common Neighbors,common_neighbors,Heuristics,case2
A000301,A000381,1,0.13043478260869565,Jaccard Coefficient,jaccard,Heuristics,case2
A000301,A000381,1,3.0800358981184024,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000301,A000381,1,276.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000301,A000381,1,0.85515873015873,Resource Allocation Index,resource_allocation,Heuristics,case2
A000329,A000453,1,3.0,Common Neighbors,common_neighbors,Heuristics,case2
A000329,A000453,1,0.5,Jaccard Coefficient,jaccard,Heuristics,case2
A000329,A000453,1,1.113120096124116,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000329,A000453,1,18.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000329,A000453,1,0.2095959595959596,Resource Allocation Index,resource_allocation,Heuristics,case2
A000230,A000334,1,6.0,Common Neighbors,common_neighbors,Heuristics,case2
A000230,A000334,1,0.17647058823529413,Jaccard Coefficient,jaccard,Heuristics,case2
A000230,A000334,1,2.160417016236909,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000230,A000334,1,351.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000230,A000334,1,0.3828083466241361,Resource Allocation Index,resource_allocation,Heuristics,case2
A000124,A000238,1,4.0,Common Neighbors,common_neighbors,Heuristics,case2
A000124,A000238,1,0.23529411764705882,Jaccard Coefficient,jaccard,Heuristics,case2
A000124,A000238,1,1.7814986676816693,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000124,A000238,1,68.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000124,A000238,1,0.4319397993311037,Resource Allocation Index,resource_allocation,Heuristics,case2
A000037,A000206,1,2.0,Common Neighbors,common_neighbors,Heuristics,case2
A000037,A000206,1,0.2857142857142857,Jaccard Coefficient,jaccard,Heuristics,case2
A000037,A000206,1,0.7699885152890075,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000037,A000206,1,18.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000037,A000206,1,0.1497326203208556,Resource Allocation Index,resource_allocation,Heuristics,case2
A000321,A000531,1,6.0,Common Neighbors,common_neighbors,Heuristics,case2
A000321,A000531,1,0.24,Jaccard Coefficient,jaccard,Heuristics,case2
A000321,A000531,1,2.560036174923084,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000321,A000531,1,228.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000321,A000531,1,0.5872266135424029,Resource Allocation Index,resource_allocation,Heuristics,case2
A000076,A000240,1,8.0,Common Neighbors,common_neighbors,Heuristics,case2
