token,df,len,is_english
web,546,3,TRUE
technology,544,10,TRUE
essential,542,9,TRUE
sos,540,3,FALSE
manual,538,6,TRUE
allowed,535,7,TRUE
made,529,4,TRUE
fit,527,3,TRUE
facebook,522,8,FALSE
off,522,3,TRUE
hotline,521,7,FALSE
onvif,521,5,FALSE
tnhh,520,4,FALSE
cloud,517,5,TRUE
hotspot,515,7,FALSE
rohs,510,4,FALSE
inbox,508,5,TRUE
charger,507,7,TRUE
face,506,4,TRUE
otype,506,5,FALSE
phai,504,4,FALSE
months,503,6,TRUE
signal,500,6,TRUE
also,499,4,TRUE
xxl,499,3,FALSE
clip,495,4,TRUE
men,494,3,TRUE
distance,490,8,TRUE
fcc,490,3,FALSE
seal,489,4,TRUE
day,487,3,TRUE
uhf,485,3,TRUE
transmission,483,12,TRUE
function,482,8,TRUE
ezviz,480,5,FALSE
toner,480,5,TRUE
imou,478,4,FALSE
source,478,6,TRUE
wcdma,469,5,FALSE
live,468,4,TRUE
fdd,464,3,FALSE
interface,464,9,TRUE
performance,464,11,TRUE
connection,461,10,TRUE
water,461,5,TRUE
need,460,4,TRUE
paraben,457,7,FALSE
etc,454,3,TRUE
retro,453,5,TRUE
test,452,4,TRUE
tilt,449,4,TRUE
gtgt,448,4,FALSE
reflection,446,10,TRUE
calo,445,4,FALSE
atmosphere,443,10,TRUE
concernsda,443,10,FALSE
youtube,441,7,FALSE
axit,438,4,FALSE
top,438,3,TRUE
smartwatch,436,10,TRUE
warm,436,4,TRUE
polyester,435,9,TRUE
digital,433,7,TRUE
gram,433,4,TRUE
lavalier,433,8,FALSE
nsx,430,3,FALSE
length,429,6,TRUE
wired,428,5,TRUE
ota,426,3,FALSE
powered,426,7,TRUE
care,424,4,TRUE
into,424,4,TRUE
compatible,422,10,TRUE
decoration,422,10,TRUE
meters,421,6,TRUE
pinli,419,5,FALSE
remote,418,6,TRUE
garden,416,6,TRUE
great,415,5,TRUE
christmas,414,9,FALSE
gym,414,3,TRUE
hdsd,414,4,FALSE
lamp,414,4,TRUE
oppo,413,4,FALSE
pixels,413,6,TRUE
ohmbattery,412,10,FALSE
out,412,3,TRUE
style,412,5,TRUE
indoor,411,6,TRUE
isolating,411,9,TRUE
experience,410,10,TRUE
nghi,410,4,FALSE
graphene,409,8,FALSE
macbook,409,7,FALSE
camerawifi,405,10,FALSE
used,405,4,TRUE
description,404,11,TRUE
halloween,404,9,FALSE
cardioid,402,8,FALSE
recording,402,9,TRUE
dnr,399,3,FALSE
hspa,399,4,FALSE
panthenol,399,9,FALSE
amazon,398,6,TRUE
speakers,398,8,TRUE
delivery,397,8,TRUE
anti,396,4,TRUE
enjoy,395,5,TRUE
protection,395,10,TRUE
durable,394,7,TRUE
occasions,394,9,TRUE
devices,390,7,TRUE
micuhf,389,6,FALSE
online,387,6,TRUE
typec,387,5,FALSE
body,385,4,TRUE
internet,385,8,TRUE
oil,385,3,TRUE
series,385,6,TRUE
main,384,4,TRUE
short,383,5,TRUE
scp,382,3,FALSE
fairy,381,5,TRUE
open,380,4,TRUE
ipc,379,3,FALSE
melanin,379,7,TRUE
gel,378,3,TRUE
vip,378,3,FALSE
windows,377,7,TRUE
family,375,6,TRUE
touch,375,5,TRUE
user,375,4,TRUE
version,373,7,TRUE
lbs,372,3,TRUE
switch,371,6,TRUE
wish,370,4,TRUE
sodium,369,6,TRUE
two,369,3,TRUE
yoga,369,4,TRUE
line,367,4,TRUE
volume,365,6,TRUE
dimensity,364,9,FALSE
modes,364,5,TRUE
energy,362,6,TRUE
low,362,3,TRUE
during,361,6,TRUE
show,359,4,TRUE
spa,357,3,TRUE
resolution,356,10,TRUE
wide,356,4,TRUE
blue,353,4,TRUE
cell,352,4,TRUE
making,351,6,TRUE
sensitivity,351,11,TRUE
gaming,350,6,TRUE
computer,349,8,TRUE
glycol,348,6,TRUE
designed,347,8,TRUE
lavender,346,8,TRUE
fhd,345,3,FALSE
sku,345,3,FALSE
dwdr,344,4,FALSE
service,343,7,TRUE
ready,341,5,TRUE
way,341,3,TRUE
ktv,339,3,FALSE
brand,338,5,TRUE
tiktok,338,6,FALSE
hoco,336,4,FALSE
level,336,5,TRUE
nylon,336,5,TRUE
extract,335,7,TRUE
just,332,4,TRUE
case,330,4,TRUE
fragrance,330,9,TRUE
hign,329,4,FALSE
connect,328,7,TRUE
working,328,7,TRUE
ghz,326,3,FALSE
fcp,325,3,FALSE
after,324,5,TRUE
choice,324,6,TRUE
skin,323,4,TRUE
ten,323,3,TRUE
like,322,4,TRUE
aliexpress,321,10,FALSE
supply,319,6,TRUE
fashion,318,7,TRUE
instagram,318,9,FALSE
solar,318,5,TRUE
easily,316,6,TRUE
head,316,4,TRUE
mix,316,3,TRUE
parties,315,7,TRUE
port,315,4,TRUE
compact,314,7,TRUE
reset,314,5,TRUE
bar,313,3,TRUE
effect,313,6,TRUE
screen,313,6,TRUE
various,313,7,TRUE
customer,310,8,TRUE
cctv,309,4,FALSE
fidelity,309,8,TRUE
auto,308,4,TRUE
bha,308,3,FALSE
feature,308,7,TRUE
snapdragon,308,10,TRUE
hsd,306,3,FALSE
retinol,306,7,FALSE
ensures,305,7,TRUE
external,305,8,TRUE
tracking,305,8,TRUE
treble,305,6,TRUE
ethernet,304,8,FALSE
npk,303,3,FALSE
wire,302,4,TRUE
base,301,4,TRUE
due,301,3,TRUE
wedding,300,7,TRUE
number,298,6,TRUE
powerbank,298,9,FALSE
create,295,6,TRUE
hatgiong,295,8,FALSE
very,294,4,TRUE
whether,294,7,TRUE
vocal,293,5,TRUE
feet,292,4,TRUE
glow,292,4,TRUE
whatsapp,292,8,FALSE
has,291,3,TRUE
ideal,291,5,TRUE
origin,291,6,TRUE
pattern,291,7,TRUE
tft,291,3,FALSE
afc,290,3,FALSE
small,290,5,TRUE
none,289,4,TRUE
button,288,6,TRUE
impedance,287,9,TRUE
multi,286,5,TRUE
condenser,285,9,TRUE
sms,285,3,FALSE
logo,283,4,TRUE
mah,283,3,FALSE
messenger,283,9,TRUE
shown,283,5,TRUE
large,282,5,TRUE
stable,280,6,TRUE
air,279,3,TRUE
bright,277,6,TRUE
freeship,277,8,FALSE
vivo,277,4,FALSE
original,276,8,TRUE
storage,276,7,TRUE
allantoin,274,9,FALSE
pickup,274,6,TRUE
redmi,274,5,FALSE
sale,274,4,TRUE
hyaluronate,273,11,FALSE
nvr,273,3,FALSE
reliable,273,8,TRUE
agc,272,3,FALSE
ong,272,3,FALSE
work,272,4,TRUE
cnc,271,3,FALSE
every,271,5,TRUE
mac,271,3,TRUE
spandex,271,7,TRUE
crystal,270,7,TRUE
ear,270,3,TRUE
huy,270,3,FALSE
ampoule,269,7,FALSE
arbutin,269,7,FALSE
handheld,269,8,TRUE
mainland,269,8,TRUE
red,269,3,TRUE
such,267,4,TRUE
laser,266,5,TRUE
cut,263,3,TRUE
even,263,4,TRUE
its,263,3,TRUE
adjustable,262,10,TRUE
copper,261,6,TRUE
soft,260,4,TRUE
earbuds,259,7,TRUE
shopee,259,6,FALSE
cameraip,258,8,FALSE
consumption,258,11,TRUE
camerayoosee,257,12,FALSE
decorations,257,11,TRUE
ohmheadphone,257,12,FALSE
receiver,257,8,TRUE
while,257,5,TRUE
playback,256,8,TRUE
voucher,256,7,TRUE
brightness,255,10,TRUE
ebay,255,4,FALSE
snapchat,254,8,FALSE
installation,252,12,TRUE
safe,252,4,TRUE
hat,250,3,TRUE
appearance,249,10,TRUE
less,249,4,TRUE
tablet,249,6,TRUE
convenient,248,10,TRUE
own,248,3,TRUE
device,247,6,TRUE
fully,247,5,TRUE
automatically,246,13,TRUE
gift,246,4,TRUE
reduction,246,9,TRUE
specification,246,13,TRUE
certification,245,13,TRUE
podcast,244,7,TRUE
yes,244,3,TRUE
mouse,243,5,TRUE
these,243,5,TRUE
weight,242,6,TRUE
alarm,240,5,TRUE
anywhere,240,8,TRUE
streaming,240,9,TRUE
simple,239,6,TRUE
monthsdelivery,238,14,FALSE
butylene,237,8,FALSE
green,237,5,TRUE
temperature,237,11,TRUE
aqua,236,4,TRUE
circuit,236,7,TRUE
effectively,236,11,TRUE
icr,236,3,FALSE
ratio,236,5,TRUE
shopping,236,8,TRUE
versatile,236,9,TRUE
back,234,4,TRUE
factory,234,7,TRUE
rechargeable,234,12,TRUE
turn,234,4,TRUE
system,233,6,TRUE
specifications,232,14,TRUE
supports,232,8,TRUE
both,231,4,TRUE
conference,231,10,TRUE
link,231,4,TRUE
peptide,231,7,TRUE
telegram,231,8,TRUE
pink,230,4,TRUE
within,230,6,TRUE
comfort,229,7,TRUE
essence,229,7,TRUE
namphong,229,8,FALSE
patio,229,5,TRUE
using,229,5,TRUE
camerangoaitroi,228,15,FALSE
gen,228,3,TRUE
zoomdung,228,8,FALSE
active,226,6,TRUE
china,226,5,TRUE
ard,225,3,FALSE
cod,225,3,TRUE
lux,225,3,TRUE
sacduphong,225,10,FALSE
snack,225,5,TRUE
capcut,224,6,FALSE
double,224,6,TRUE
progressive,224,11,TRUE
thaobattery,224,11,FALSE
glass,223,5,TRUE
tone,223,4,TRUE
batteries,222,9,TRUE
network,222,7,TRUE
pure,222,4,TRUE
strong,222,6,TRUE
true,222,4,TRUE
effects,221,7,TRUE
surround,221,8,TRUE
wall,221,4,TRUE
fullhd,220,6,FALSE
naminput,220,8,FALSE
room,220,4,TRUE
magsafe,219,7,FALSE
mall,218,4,TRUE
vision,218,6,TRUE
creating,217,8,TRUE
polar,217,5,TRUE
siri,217,4,FALSE
cinput,216,6,FALSE
want,216,4,TRUE
band,215,4,TRUE
stage,215,5,TRUE
amply,214,5,TRUE
blc,214,3,FALSE
echo,213,4,TRUE
hub,213,3,TRUE
picnic,213,6,TRUE
jeanform,212,8,FALSE
microphones,212,11,TRUE
saving,212,6,TRUE
sony,211,4,FALSE
damage,210,6,TRUE
english,210,7,FALSE
indonesia,210,9,FALSE
three,210,5,TRUE
bit,209,3,TRUE
detection,209,9,TRUE
polyurethane,209,12,TRUE
diy,208,3,FALSE
leds,206,4,FALSE
lenovo,206,6,FALSE
through,206,7,TRUE
aha,205,3,TRUE
ahas,205,4,FALSE
baggy,205,5,TRUE
beauty,204,6,TRUE
deca,204,4,FALSE
panel,204,5,TRUE
octa,203,4,FALSE
scene,203,5,TRUE
shape,203,5,TRUE
single,203,6,TRUE
cameragiamsat,202,13,FALSE
clearer,202,7,TRUE
colors,202,6,TRUE
directly,202,8,TRUE
selfie,202,6,TRUE
special,202,7,TRUE
stock,202,5,TRUE
entertainment,201,13,TRUE
remax,201,5,FALSE
zinc,201,4,TRUE
combination,200,11,TRUE
including,200,9,TRUE
magnetic,200,8,TRUE
sensor,200,6,TRUE
space,200,5,TRUE
flexible,199,8,TRUE
lasting,199,7,TRUE
quanjeannam,199,11,FALSE
most,198,4,TRUE
nits,198,4,TRUE
toilet,198,6,TRUE
attention,197,9,TRUE
daskin,197,6,FALSE
lightweight,196,11,TRUE
official,196,8,TRUE
player,196,6,TRUE
birthday,195,8,TRUE
aac,194,3,FALSE
hatgiongtot,194,11,FALSE
livestream,194,10,FALSE
unisex,194,6,TRUE
efficiently,193,11,TRUE
holiday,193,7,TRUE
lag,193,3,TRUE
lung,193,4,TRUE
makes,193,5,TRUE
net,193,3,TRUE
standby,193,7,TRUE
valentine,193,9,TRUE
adjust,192,6,TRUE
beautiful,192,9,TRUE
operating,192,9,TRUE
cream,191,5,TRUE
equipped,191,8,TRUE
operation,191,9,TRUE
cameraanninh,190,12,FALSE
install,190,7,TRUE
motion,190,6,TRUE
office,190,6,TRUE
standard,190,8,TRUE
cameratrongnha,189,14,FALSE
charming,189,8,TRUE
fullbox,189,7,FALSE
meet,189,4,TRUE
memory,189,6,TRUE
universal,189,9,TRUE
phones,188,6,TRUE
salicylic,188,9,FALSE
avoid,187,5,TRUE
reach,187,5,TRUE
stand,187,5,TRUE
they,187,4,TRUE
total,187,5,TRUE
welcome,187,7,TRUE
method,186,6,TRUE
powerful,186,8,TRUE
natural,185,7,TRUE
settings,185,8,TRUE
enhances,184,8,TRUE
allows,183,6,TRUE
cafe,183,4,TRUE
cbrand,183,6,FALSE
elastin,183,7,FALSE
hdmi,183,4,FALSE
hexanediol,183,10,FALSE
precision,183,9,TRUE
simply,183,6,TRUE
bedroom,182,7,TRUE
decorative,182,10,TRUE
film,182,4,TRUE
friendly,182,8,TRUE
hatgionghoa,182,11,FALSE
setracker,182,9,FALSE
snr,182,3,FALSE
always,181,6,TRUE
required,181,8,TRUE
thank,181,5,TRUE
clean,180,5,TRUE
headset,180,7,TRUE
pop,180,3,TRUE
rate,180,4,TRUE
avrcp,179,5,FALSE
but,179,3,TRUE
centella,179,8,FALSE
happy,179,5,TRUE
spot,179,4,TRUE
affect,178,6,TRUE
donghothongminh,178,15,FALSE
leaf,178,4,TRUE
noel,178,4,TRUE
twinkle,178,7,TRUE
bring,177,5,TRUE
communication,177,13,TRUE
hands,177,5,TRUE
multiple,177,8,TRUE
add,176,3,TRUE
dark,176,4,TRUE
dsp,176,3,FALSE
needs,176,5,TRUE
steady,176,6,TRUE
angle,175,5,TRUE
avi,175,3,FALSE
baseus,175,6,FALSE
clock,175,5,TRUE
environment,175,11,TRUE
photo,175,5,TRUE
place,175,5,TRUE
headphone,174,9,TRUE
human,174,5,TRUE
pal,174,3,TRUE
become,173,6,TRUE
current,173,7,TRUE
gom,173,3,FALSE
htc,173,3,FALSE
ppi,173,3,FALSE
qualcomm,173,8,FALSE
safety,173,6,TRUE
usage,173,5,TRUE
background,172,10,TRUE
dock,172,4,TRUE
gpu,172,3,FALSE
mesh,172,4,TRUE
singing,172,7,TRUE
desktop,171,7,TRUE
ntsc,171,4,FALSE
default,169,7,TRUE
flower,169,6,TRUE
pay,169,3,TRUE
questions,169,9,TRUE
shell,169,5,TRUE
vintage,169,7,TRUE
applicable,168,10,TRUE
does,168,4,TRUE
enhanced,168,8,TRUE
favorite,168,8,TRUE
luminous,168,8,TRUE
awb,167,3,FALSE
days,167,4,TRUE
games,167,5,TRUE
gold,167,4,TRUE
nokia,167,5,FALSE
scan,167,4,TRUE
slim,167,4,TRUE
alloy,166,5,TRUE
batches,166,7,TRUE
people,166,6,TRUE
provides,166,8,TRUE
compatibility,165,13,TRUE
earphone,165,8,TRUE
effortlessly,165,12,TRUE
gyro,165,4,TRUE
skincare,165,8,TRUE
subwoofer,164,9,FALSE
timer,164,5,TRUE
approx,163,6,TRUE
directivity,163,11,FALSE
enough,163,6,TRUE
feel,163,4,TRUE
gorilla,163,7,TRUE
fake,162,4,TRUE
khz,162,3,FALSE
nghedj,162,6,FALSE
romantic,162,8,TRUE
team,162,4,TRUE
year,162,4,TRUE
ambiance,161,8,TRUE
conditions,161,10,TRUE
pinduphong,161,10,FALSE
seamless,161,8,TRUE
tpe,161,3,FALSE
alexa,160,5,FALSE
anten,160,5,FALSE
bulbs,160,5,TRUE
date,160,4,TRUE
kali,160,4,FALSE
over,160,4,TRUE
them,160,4,TRUE
advanced,159,8,TRUE
compass,159,7,TRUE
sold,159,4,TRUE
wdr,159,3,FALSE
application,158,11,TRUE
include,158,7,TRUE
louder,158,6,TRUE
connecting,157,10,TRUE
convert,157,7,TRUE
security,157,8,TRUE
apu,156,3,FALSE
daily,156,5,TRUE
hatgiongrau,156,11,FALSE
pack,156,4,TRUE
peptides,156,8,TRUE
pinsacduphong,156,13,FALSE
proximity,156,9,TRUE
wechat,156,6,FALSE
around,155,6,TRUE
calls,155,5,TRUE
cameragiare,155,11,FALSE
ceramide,155,8,FALSE
ensuring,155,8,TRUE
galileo,155,7,FALSE
lazmall,155,7,FALSE
vlog,155,4,FALSE
bulb,154,4,TRUE
chemical,154,8,TRUE
includes,154,8,TRUE
travel,154,6,TRUE
big,153,3,TRUE
ble,153,3,FALSE
burst,153,5,TRUE
each,153,4,TRUE
glycolic,153,8,FALSE
hello,153,5,TRUE
poe,153,3,FALSE
ascorbic,152,8,FALSE
protocol,152,8,TRUE
software,152,8,TRUE
directional,151,11,TRUE
laihai,151,6,FALSE
thin,151,4,TRUE
alpha,150,5,TRUE
ball,150,4,TRUE
code,150,4,TRUE
dahua,150,5,FALSE
lawn,150,4,TRUE
resistant,150,9,TRUE
solution,150,8,TRUE
concerned,149,9,TRUE
filter,149,6,TRUE
rated,149,5,TRUE
bump,148,4,TRUE
choose,148,6,TRUE
phenoxyethanol,148,14,FALSE
protector,148,9,TRUE
setting,148,7,TRUE
avoids,147,6,TRUE
cplug,147,5,FALSE
hikvision,147,9,FALSE
skinny,147,6,TRUE
via,147,3,TRUE
waves,147,5,TRUE
atm,146,3,FALSE
microusb,146,8,FALSE
micvhf,146,6,FALSE
peel,146,4,TRUE
stream,146,6,TRUE
tinhdauthomphong,146,16,FALSE
allow,145,5,TRUE
bai,145,3,FALSE
beta,145,4,TRUE
camerachinhhang,145,15,FALSE
comes,145,5,TRUE
supported,145,9,TRUE
slow,144,4,TRUE
surface,144,7,TRUE
tpu,144,3,FALSE
under,144,5,TRUE
acrylic,143,7,TRUE
assistant,143,9,TRUE
enc,143,3,TRUE
hanging,143,7,TRUE
ieee,143,4,FALSE
providing,143,9,TRUE
tree,143,4,TRUE
world,143,5,TRUE
blackberry,142,10,TRUE
complex,142,7,TRUE
convenience,142,11,TRUE
differences,142,11,TRUE
hfp,142,3,FALSE
intelligent,142,11,TRUE
lens,142,4,TRUE
oled,142,4,FALSE
charged,141,7,TRUE
connectivity,141,12,TRUE
fire,141,4,TRUE
outdoors,141,8,TRUE
wonderful,141,9,TRUE
accelerometer,140,13,FALSE
anc,140,3,FALSE
follow,140,6,TRUE
hybrid,140,6,TRUE
wash,140,4,TRUE
cross,139,5,TRUE
flashlight,139,10,TRUE
mate,139,4,TRUE
maximum,139,7,TRUE
panorama,139,8,TRUE
protein,139,7,TRUE
reverse,139,7,TRUE
carry,138,5,TRUE
effective,138,9,TRUE
slot,138,4,TRUE
chasing,137,7,TRUE
orange,137,6,TRUE
comfortable,136,11,TRUE
icsee,136,5,FALSE
listening,136,9,TRUE
market,136,6,TRUE
month,136,5,TRUE
reduce,136,6,TRUE
sturdy,136,6,TRUE
who,136,3,TRUE
barometer,135,9,TRUE
chain,135,5,TRUE
discount,135,8,TRUE
silica,135,6,TRUE
circumaural,134,11,FALSE
edta,134,4,FALSE
giu,134,3,FALSE
materials,134,9,TRUE
seeds,134,5,TRUE
silver,134,6,TRUE
tranexamic,134,10,FALSE
adenosine,133,9,FALSE
amplifier,133,9,TRUE
hatgiongchatluong,133,17,FALSE
living,133,6,TRUE
premium,133,7,TRUE
shipment,133,8,TRUE
shooting,133,8,TRUE
unit,133,4,TRUE
classic,132,7,TRUE
dimmable,132,8,FALSE
events,132,6,TRUE
friends,132,7,TRUE
interference,132,12,TRUE
sleep,132,5,TRUE
excellent,131,9,TRUE
monitoring,131,10,TRUE
packed,131,6,TRUE
platform,131,8,TRUE
adds,130,4,TRUE
analog,130,6,TRUE
between,130,7,TRUE
delay,130,5,TRUE
organic,130,7,TRUE
take,130,4,TRUE
unique,130,6,TRUE
allowing,129,8,TRUE
fabric,129,6,TRUE
jerry,129,5,FALSE
many,129,4,TRUE
polyme,129,6,FALSE
realme,129,6,FALSE
replaced,129,8,TRUE
diameter,128,8,TRUE
pocket,128,6,TRUE
typewifi,128,8,FALSE
backup,127,6,TRUE
cables,127,6,TRUE
camerahongngoai,127,15,FALSE
dac,127,3,FALSE
propanediol,127,11,FALSE
say,127,3,TRUE
consult,126,7,TRUE
hydrolyzed,126,10,TRUE
mood,126,4,TRUE
ohm,126,3,TRUE
piece,126,5,TRUE
properly,126,8,TRUE
rpp,126,3,FALSE
skype,126,5,FALSE
smooth,126,6,TRUE
window,126,6,TRUE
camerakhongday,125,14,FALSE
health,125,6,TRUE
ordinary,125,8,TRUE
quantity,125,8,TRUE
spotlight,125,9,TRUE
ethylhexylglycerin,124,18,FALSE
glutathione,124,11,FALSE
hatgiongraucuqua,124,16,FALSE
works,124,5,TRUE
board,123,5,TRUE
citric,123,6,TRUE
mpkhe,123,5,FALSE
stk,123,3,FALSE
viettel,123,7,FALSE
corning,122,7,TRUE
crafted,122,7,TRUE
dome,122,4,TRUE
everyday,122,8,TRUE
fade,122,4,TRUE
hydrat,122,6,FALSE
last,122,4,TRUE
modeyesinput,122,12,FALSE
ngoa,122,4,FALSE
pir,122,3,FALSE
places,122,6,TRUE
rose,122,4,TRUE
tinhdaunguyenchat,122,17,FALSE
upgraded,122,8,TRUE
usa,122,3,FALSE
checked,121,7,TRUE
disodium,121,8,FALSE
enhance,121,7,TRUE
looking,121,7,TRUE
worry,121,5,TRUE
yard,121,4,TRUE
better,120,6,TRUE
delivers,120,8,TRUE
fails,120,5,TRUE
helio,120,5,FALSE
inchesdung,120,10,FALSE
mtv,120,3,FALSE
optional,120,8,TRUE
porch,120,5,TRUE
root,120,4,TRUE
alcohol,119,7,TRUE
cap,119,3,TRUE
cover,119,5,TRUE
fresh,119,5,TRUE
lite,119,4,TRUE
